PERALIHAN ANGGERIK,TINGKATAN 1,TINGKATAN 2,TINGKATAN 3,TINGKATAN 4,TINGKATAN 5
BAHASA MELAYU 1,BAHASA MELAYU,BAHASA MELAYU,BAHASA MELAYU,BAHASA MELAYU,BAHASA MELAYU
BAHASA MELAYU 2,BAHASA INGGERIS,BAHASA INGGERIS,BAHASA INGGERIS,BAHASA INGGERIS,BAHASA INGGERIS
BAHASA INGGERIS,BAHASA CINA,BAHASA CINA,BAHASA CINA,BAHASA CINA,BAHASA CINA
BAHASA CINA,BAHASA TAMIL,BAHASA TAMIL,BAHASA TAMIL,BAHASA TAMIL,BAHASA TAMIL
BAHASA TAMIL,MATEMATIK,MATEMATIK,MATEMATIK,MATEMATIK,MATEMATIK
AMALAN BAHASA MELAYU 1,SAINS,SAINS,SAINS,SEJARAH,SEJARAH
AMALAN BAHASA MELAYU,SEJARAH,SEJARAH,SEJARAH,PENDIDIKAN ISLAM,PENDIDIKAN ISLAM
PENDIDIKAN SENI VISUAL,GEOGRAFI,GEOGRAFI,GEOGRAFI,PENDIDIKAN MORAL,PENDIDIKAN MORAL
PENDIDIKAN JASMANI & KESIHATAN,REKA BENTUK & TEKNOLOGI,REKA BENTUK & TEKNOLOGI,REKA BENTUK & TEKNOLOGI,MATEMATIK TAMBAHAN,MATEMATIK TAMBAHAN
,PENDIDIKAN SENI VISUAL,PENDIDIKAN SENI VISUAL,PENDIDIKAN SENI VISUAL,FIZIK,FIZIK
,PENDIDIKAN ISLAM,PENDIDIKAN ISLAM,PENDIDIKAN ISLAM,KIMIA,KIMIA
,PENDIDIKAN MORAL,PENDIDIKAN MORAL,PENDIDIKAN MORAL,BIOLOGI,BIOLOGI
,PENDIDIKAN JASMANI & KESIHATAN,PENDIDIKAN JASMANI & KESIHATAN,PENDIDIKAN JASMANI & KESIHATAN,SAINS,SAINS
,,,,PRINSIP AKAUNS,PRINSIP AKAUNS
,,,,EKONOMI,EKONOMI
,,,,PERNIAGAAN,PERNIAGAAN
,,,,PENDIDIKAN SENI VISUAL,PENDIDIKAN SENI VISUAL
,,,,MPV,MPV
,,,,PENDIDIKAN JASMANI DAN KESIHATAN,PENDIDIKAN JASMANI DAN KESIHATAN
